Group,Code,Description,Unit,HSN Code,Rate,GST
Platinum,RE601,Re-601 Coach (Cabin) Fan 24V (12),PCS,841420,1483.00,GST18
Platinum,RE602,C*** Re-602 Coach (Cabin) Fan (12V) 12,PCS,841420,1451.00,GST18
Platinum-Spl,RE603,Z999*Re-603 Coach (Cabin) Fan 24V (9),PCS,841420,1142.00,GST18
Platinum-Spl,RE604,Z999*Re-604 Coach (Cabin) Fan (12V) (9),PCS,841420,1142.00,GST18
Platinum-Spl,RE605,"605 Silent Coach Fan (9"") 225Mm (12V) Uni.",PCS,841420,1571.00,GST18
Platinum-Spl,RE605A,"605(A) Silent Coach Fan (9"") 225Mm (24V) Uni.",PCS,841420,1571.00,GST18
